Buy & Hold,Heuristic,News (LLM)
279561.0895239008,86737.3271363579,81434.42495207126
283209.84381543525,87410.3010400139,82066.20773176487
287277.9126630915,88160.61305173265,82770.59493879612
289963.7362943781,88655.9846413933,83235.6460175925
298368.356331457,90206.12737592089,84690.90822080905
290081.6114698542,88677.72546323168,83256.05613569553
293514.24460278876,89310.83811887132,83850.41747907932
297752.59981976874,88440.33306890352,83032.94364375502
304788.1524549616,87136.26038366182,81808.29596156508
301584.79328976996,87730.01803212984,82365.89059276014
305023.92781125434,87092.55831533296,81767.25558299452
311627.1381078852,85868.62231069429,80617.86382884413
312537.7075849665,85699.8439865671,80459.36500758558
302816.3563238276,87501.74204641207,82151.51783580214
306969.5433508051,86731.92934804781,81428.5908491078
292839.5254980219,89768.45466485947,84280.17552933998
281428.03826199897,89768.45466485947,84280.17552933998
280805.8053671015,88822.78226310854,83392.43214503919
276128.48139630683,87925.84919960146,82550.44247523938
286531.1281667841,89920.68169242983,84423.07759181653
291038.0407415522,90784.93632347231,85234.39061061536
278696.4298521174,88418.28416664248,83012.71237270032
269178.0969511164,86593.02948219424,81299.26724330579
270317.9403959406,86811.60815651064,81504.45645229016
274648.015202154,87641.95202095156,82283.93597499524
272152.15714322455,87163.34125358706,81834.64344875012
282273.1187521113,89104.15723259097,83656.5709389845
290009.5960889948,90587.71970588808,85049.25488368665
299829.1933332575,91178.10044159842,85603.47068968363
304716.0870634211,90561.377725974,85024.55864593678
306052.44747983344,90315.30800475208,84793.5752207964
310107.3885236872,89568.65448226062,84092.69830200367
312570.4645811213,89115.1178230199,83666.96753570728
321643.2773290766,87444.50226439563,82098.77579757862
323510.2010618342,87100.7376655492,81776.0870730608
330296.8005262507,85851.09227217762,80603.05622741871
325265.8260236872,86777.46698226062,81472.63580200367
329143.9292989863,86063.3753494176,80802.32443496876
327951.6746603144,86282.91026152698,81008.39987442188
335229.5290456904,84942.80801238147,79750.45799514942
332183.4784780634,85503.69024504749,80276.95308181935
324139.0853773249,86984.93852461902,81667.38746521168
317981.3952337397,88118.78017272083,82731.71438095265
321034.07221661933,87556.67779006092,82204.0739505022
318276.1581884516,88064.50421752063,82680.76603195362
320365.87950574287,87679.71495284168,82319.5678240984
311391.28773557075,89332.24466551868,83870.78254196339
311358.5807500971,89338.26714171497,83876.43578598194
303137.3248754633,89393.89611231233,83928.70597435316
310081.7830549372,90636.58862863923,85095.12068916639
303117.67067777045,89390.37904535676,83925.40478874525
310278.30002652534,90671.754823555,85128.1283452638
316240.0233160151,91818.46197452373,86204.44937954903
310481.393402685,90762.62955800082,85213.29694712718
317229.33461057075,91955.74380055453,86333.32136118968
320052.9376684321,92158.88388864732,86524.01714707835
321769.35425626166,92057.99767451301,86429.31485149868
325307.10984097846,90975.54818136088,85413.21515214747
333083.52070676215,89620.75623494975,84141.46649492091
329984.7588812006,90160.61680013529,84648.23578203029
320203.6198507441,91864.66878682963,86247.83624589747
325962.24976407416,90900.92431399942,85343.21139171012
324914.00088178046,91250.63901165438,85671.46345449093
327855.5541311396,90753.42451885653,85204.76393056515
328759.6972356928,90600.59605816317,85061.31483388547
329447.5691496027,90484.32419231844,84952.17878652218
329447.5691496027,90484.32419231844,84952.17878652218
